maintenance_id,timestamp,material_id,quantity,maintenance_type,bike_age_months,mileage,notes
MAINT-0025,2024-01-25,MAT-ELC-001,2,ACCIDENT_REPAIR,26,1300,Accident damage repair
MAINT-0026,2024-01-25,MAT-STD-002,2,ACCIDENT_REPAIR,26,1300,Accident damage repair
MAINT-0027,2024-01-27,MAT-STD-001,3,WEAR_REPLACEMENT,44,2200,Normal wear replacement - 44 months old
MAINT-0028,2024-01-30,MAT-STD-002,1,SCHEDULED_MAINTENANCE,15,500,Brake adjustment at 500 miles
MAINT-0029,2024-01-30,MAT-STD-001,1,WEAR_REPLACEMENT,19,950,Normal wear replacement - 19 months old
MAINT-0030,2024-01-31,MAT-STD-002,2,SCHEDULED_MAINTENANCE,32,1000,Brake or tire service at 1000 miles
MAINT-0031,2024-01-31,MAT-STD-001,2,SCHEDULED_MAINTENANCE,4,1000,Brake or tire service at 1000 miles
MAINT-0032,2024-01-31,MAT-STD-002,1,SCHEDULED_MAINTENANCE,13,500,Brake adjustment at 500 miles
MAINT-0033,2024-02-01,MAT-STD-002,2,SCHEDULED_MAINTENANCE,28,1000,Brake or tire service at 1000 miles
MAINT-0034,2024-02-01,MAT-STD-002,1,SCHEDULED_MAINTENANCE,24,500,Brake adjustment at 500 miles
MAINT-0035,2024-02-01,MAT-STD-002,2,WEAR_REPLACEMENT,37,1850,Normal wear replacement - 37 months old
MAINT-0036,2024-02-03,MAT-STD-002,1,SCHEDULED_MAINTENANCE,29,2000,Brake pad replacement at 2000 miles
MAINT-0037,2024-02-03,MAT-STD-003,1,SCHEDULED_MAINTENANCE,33,2000,Chain replacement at 2000 miles
MAINT-0038,2024-02-03,MAT-STD-001,2,SCHEDULED_MAINTENANCE,10,2000,Tire replacement at 2000 miles
MAINT-0039,2024-02-03,MAT-STD-002,2,SCHEDULED_MAINTENANCE,30,3000,Brake pad replacement at 3000 miles
MAINT-0040,2024-02-03,MAT-STD-003,1,SCHEDULED_MAINTENANCE,4,3000,Chain replacement at 3000 miles
MAINT-0041,2024-02-03,MAT-STD-001,2,SCHEDULED_MAINTENANCE,13,3000,Tire replacement at 3000 miles
MAINT-0042,2024-02-03,MAT-STD-002,1,SCHEDULED_MAINTENANCE,25,2000,Brake pad replacement at 2000 miles
MAINT-0043,2024-02-03,MAT-STD-003,1,SCHEDULED_MAINTENANCE,31,2000,Chain replacement at 2000 miles
MAINT-0044,2024-02-03,MAT-STD-001,2,SCHEDULED_MAINTENANCE,17,2000,Tire replacement at 2000 miles
MAINT-0045,2024-02-06,MAT-STD-001,2,WEAR_REPLACEMENT,11,550,Normal wear replacement - 11 months old
MAINT-0046,2024-02-07,MAT-STD-002,1,SCHEDULED_MAINTENANCE,34,3000,Brake pad replacement at 3000 miles
MAINT-0047,2024-02-07,MAT-STD-003,1,SCHEDULED_MAINTENANCE,22,3000,Chain replacement at 3000 miles
MAINT-0048,2024-02-07,MAT-STD-001,2,SCHEDULED_MAINTENANCE,18,3000,Tire replacement at 3000 miles
MAINT-0049,2024-02-07,MAT-STD-002,1,SCHEDULED_MAINTENANCE,25,1000,Brake or tire service at 1000 miles
MAINT-0050,2024-02-07,MAT-STD-002,2,SCHEDULED_MAINTENANCE,14,2000,Brake pad replacement at 2000 miles
MAINT-0051,2024-02-07,MAT-STD-003,1,SCHEDULED_MAINTENANCE,35,2000,Chain replacement at 2000 miles
MAINT-0052,2024-02-07,MAT-STD-001,1,SCHEDULED_MAINTENANCE,5,2000,Tire replacement at 2000 miles
MAINT-0053,2024-02-07,MAT-STD-001,3,WEAR_REPLACEMENT,20,1000,Normal wear replacement - 20 months old
MAINT-0054,2024-02-08,MAT-STD-002,1,SCHEDULED_MAINTENANCE,12,2000,Brake pad replacement at 2000 miles
MAINT-0055,2024-02-08,MAT-STD-003,1,SCHEDULED_MAINTENANCE,35,2000,Chain replacement at 2000 miles
MAINT-0056,2024-02-08,MAT-STD-001,2,SCHEDULED_MAINTENANCE,9,2000,Tire replacement at 2000 miles
MAINT-0057,2024-02-08,MAT-STD-002,1,SCHEDULED_MAINTENANCE,31,500,Brake adjustment at 500 miles
MAINT-0058,2024-02-10,MAT-STD-001,2,WEAR_REPLACEMENT,16,800,Normal wear replacement - 16 months old
MAINT-0059,2024-02-12,MAT-STD-002,1,WEAR_REPLACEMENT,21,1050,Normal wear replacement - 21 months old
MAINT-0060,2024-02-13,MAT-STD-002,1,SCHEDULED_MAINTENANCE,20,500,Brake adjustment at 500 miles
MAINT-0061,2024-02-14,MAT-STD-002,1,SCHEDULED_MAINTENANCE,30,3000,Brake pad replacement at 3000 miles
MAINT-0062,2024-02-14,MAT-STD-003,1,SCHEDULED_MAINTENANCE,29,3000,Chain replacement at 3000 miles
MAINT-0063,2024-02-14,MAT-STD-001,1,SCHEDULED_MAINTENANCE,29,3000,Tire replacement at 3000 miles
MAINT-0064,2024-02-14,MAT-STD-002,2,SCHEDULED_MAINTENANCE,31,3000,Brake pad replacement at 3000 miles
MAINT-0065,2024-02-14,MAT-STD-003,1,SCHEDULED_MAINTENANCE,12,3000,Chain replacement at 3000 miles
MAINT-0066,2024-02-14,MAT-STD-001,1,SCHEDULED_MAINTENANCE,3,3000,Tire replacement at 3000 miles
MAINT-0067,2024-02-14,MAT-STD-002,1,SCHEDULED_MAINTENANCE,8,500,Brake adjustment at 500 miles
MAINT-0068,2024-02-20,MAT-STD-002,2,SCHEDULED_MAINTENANCE,36,2000,Brake pad replacement at 2000 miles
MAINT-0069,2024-02-20,MAT-STD-003,1,SCHEDULED_MAINTENANCE,21,2000,Chain replacement at 2000 miles
MAINT-0070,2024-02-20,MAT-STD-001,1,SCHEDULED_MAINTENANCE,16,2000,Tire replacement at 2000 miles
MAINT-0071,2024-02-20,MAT-STD-002,1,SCHEDULED_MAINTENANCE,35,500,Brake adjustment at 500 miles
MAINT-0072,2024-02-20,MAT-STD-002,2,SCHEDULED_MAINTENANCE,4,2000,Brake pad replacement at 2000 miles
MAINT-0073,2024-02-20,MAT-STD-003,1,SCHEDULED_MAINTENANCE,4,2000,Chain replacement at 2000 miles
MAINT-0074,2024-02-20,MAT-STD-001,1,SCHEDULED_MAINTENANCE,19,2000,Tire replacement at 2000 miles
MAINT-0075,2024-02-21,MAT-STD-002,2,SCHEDULED_MAINTENANCE,10,2000,Brake pad replacement at 2000 miles
MAINT-0076,2024-02-21,MAT-STD-003,1,SCHEDULED_MAINTENANCE,6,2000,Chain replacement at 2000 miles
MAINT-0077,2024-02-21,MAT-STD-001,2,SCHEDULED_MAINTENANCE,10,2000,Tire replacement at 2000 miles
MAINT-0078,2024-02-21,MAT-MOT-002,2,ACCIDENT_REPAIR,23,1150,Accident damage repair
MAINT-0079,2024-02-21,MAT-ELC-001,2,ACCIDENT_REPAIR,23,1150,Accident damage repair
MAINT-0080,2024-02-21,MAT-ELC-002,1,ACCIDENT_REPAIR,23,1150,Accident damage repair
MAINT-0081,2024-02-22,MAT-STD-003,1,WEAR_REPLACEMENT,29,1450,Normal wear replacement - 29 months old
MAINT-0082,2024-02-23,MAT-STD-002,1,WEAR_REPLACEMENT,36,1800,Normal wear replacement - 36 months old
MAINT-0083,2024-02-26,MAT-STD-003,1,WEAR_REPLACEMENT,37,1850,Normal wear replacement - 37 months old
MAINT-0084,2024-02-27,MAT-STD-001,2,WEAR_REPLACEMENT,36,1800,Normal wear replacement - 36 months old
MAINT-0085,2024-02-28,MAT-STD-002,1,WEAR_REPLACEMENT,13,650,Normal wear replacement - 13 months old
MAINT-0086,2024-02-29,MAT-STD-002,2,WEAR_REPLACEMENT,24,1200,Normal wear replacement - 24 months old
MAINT-0087,2024-03-01,MAT-STD-002,1,SCHEDULED_MAINTENANCE,21,3000,Brake pad replacement at 3000 miles
MAINT-0088,2024-03-01,MAT-STD-003,1,SCHEDULED_MAINTENANCE,16,3000,Chain replacement at 3000 miles
MAINT-0089,2024-03-01,MAT-STD-001,2,SCHEDULED_MAINTENANCE,14,3000,Tire replacement at 3000 miles
MAINT-0090,2024-03-01,MAT-STD-002,1,SCHEDULED_MAINTENANCE,25,3000,Brake pad replacement at 3000 miles
MAINT-0091,2024-03-01,MAT-STD-003,1,SCHEDULED_MAINTENANCE,7,3000,Chain replacement at 3000 miles
MAINT-0092,2024-03-01,MAT-STD-001,1,SCHEDULED_MAINTENANCE,5,3000,Tire replacement at 3000 miles
MAINT-0093,2024-03-01,MAT-STD-002,2,SCHEDULED_MAINTENANCE,31,3000,Brake pad replacement at 3000 miles
MAINT-0094,2024-03-01,MAT-STD-003,1,SCHEDULED_MAINTENANCE,24,3000,Chain replacement at 3000 miles
MAINT-0095,2024-03-01,MAT-STD-001,2,SCHEDULED_MAINTENANCE,27,3000,Tire replacement at 3000 miles
MAINT-0096,2024-03-06,MAT-STD-003,1,WEAR_REPLACEMENT,18,900,Normal wear replacement - 18 months old
MAINT-0097,2024-03-08,MAT-STD-002,2,SCHEDULED_MAINTENANCE,16,1000,Brake or tire service at 1000 miles
MAINT-0098,2024-03-08,MAT-STD-001,1,SCHEDULED_MAINTENANCE,23,1000,Brake or tire service at 1000 miles
MAINT-0099,2024-03-08,MAT-STD-002,1,SCHEDULED_MAINTENANCE,4,3000,Brake pad replacement at 3000 miles
MAINT-0100,2024-03-08,MAT-STD-003,1,SCHEDULED_MAINTENANCE,24,3000,Chain replacement at 3000 miles
MAINT-0101,2024-03-08,MAT-STD-001,2,SCHEDULED_MAINTENANCE,30,3000,Tire replacement at 3000 miles
MAINT-0102,2024-03-08,MAT-STD-003,2,WEAR_REPLACEMENT,30,1500,Normal wear replacement - 30 months old
MAINT-0103,2024-03-09,MAT-STD-002,1,SCHEDULED_MAINTENANCE,19,2000,Brake pad replacement at 2000 miles
MAINT-0104,2024-03-09,MAT-STD-003,1,SCHEDULED_MAINTENANCE,8,2000,Chain replacement at 2000 miles
MAINT-0105,2024-03-09,MAT-STD-001,1,SCHEDULED_MAINTENANCE,12,2000,Tire replacement at 2000 miles
MAINT-0106,2024-03-10,MAT-STD-001,1,WEAR_REPLACEMENT,44,2200,Normal wear replacement - 44 months old
MAINT-0107,2024-03-11,MAT-STD-001,2,WEAR_REPLACEMENT,35,1750,Normal wear replacement - 35 months old
MAINT-0108,2024-03-12,MAT-STD-002,2,SCHEDULED_MAINTENANCE,9,1000,Brake or tire service at 1000 miles
MAINT-0109,2024-03-12,MAT-STD-002,2,SCHEDULED_MAINTENANCE,29,1000,Brake or tire service at 1000 miles
MAINT-0110,2024-03-12,MAT-STD-002,1,SCHEDULED_MAINTENANCE,12,3000,Brake pad replacement at 3000 miles
MAINT-0111,2024-03-12,MAT-STD-003,1,SCHEDULED_MAINTENANCE,26,3000,Chain replacement at 3000 miles
MAINT-0112,2024-03-12,MAT-STD-001,1,SCHEDULED_MAINTENANCE,13,3000,Tire replacement at 3000 miles
MAINT-0113,2024-03-15,MAT-STD-002,3,WEAR_REPLACEMENT,13,650,Normal wear replacement - 13 months old
MAINT-0114,2024-03-16,MAT-STD-003,2,WEAR_REPLACEMENT,27,1350,Normal wear replacement - 27 months old
MAINT-0115,2024-03-21,MAT-STD-003,1,WEAR_REPLACEMENT,13,650,Normal wear replacement - 13 months old
MAINT-0116,2024-03-22,MAT-STD-002,3,WEAR_REPLACEMENT,28,1400,Normal wear replacement - 28 months old
MAINT-0117,2024-03-23,MAT-STD-002,2,WEAR_REPLACEMENT,8,400,Normal wear replacement - 8 months old
MAINT-0118,2024-03-24,MAT-STD-003,2,WEAR_REPLACEMENT,13,650,Normal wear replacement - 13 months old
MAINT-0119,2024-03-26,MAT-STD-001,1,WEAR_REPLACEMENT,22,1100,Normal wear replacement - 22 months old
MAINT-0120,2024-03-27,MAT-STD-003,1,WEAR_REPLACEMENT,40,2000,Normal wear replacement - 40 months old
MAINT-0121,2024-03-28,MAT-STD-003,2,WEAR_REPLACEMENT,37,1850,Normal wear replacement - 37 months old
MAINT-0122,2024-03-29,MAT-STD-002,3,WEAR_REPLACEMENT,34,1700,Normal wear replacement - 34 months old
MAINT-0123,2024-04-01,MAT-STD-002,1,SCHEDULED_MAINTENANCE,4,500,Brake adjustment at 500 miles
MAINT-0124,2024-04-01,MAT-STD-002,2,SCHEDULED_MAINTENANCE,24,3000,Brake pad replacement at 3000 miles
MAINT-0125,2024-04-01,MAT-STD-003,1,SCHEDULED_MAINTENANCE,19,3000,Chain replacement at 3000 miles
MAINT-0126,2024-04-01,MAT-STD-001,1,SCHEDULED_MAINTENANCE,18,3000,Tire replacement at 3000 miles
MAINT-0127,2024-04-01,MAT-STD-002,1,SCHEDULED_MAINTENANCE,33,500,Brake adjustment at 500 miles
MAINT-0128,2024-04-01,MAT-STD-001,2,WEAR_REPLACEMENT,39,1950,Normal wear replacement - 39 months old
MAINT-0129,2024-04-03,MAT-STD-002,1,SCHEDULED_MAINTENANCE,27,500,Brake adjustment at 500 miles
MAINT-0130,2024-04-04,MAT-STD-003,2,WEAR_REPLACEMENT,10,500,Normal wear replacement - 10 months old
MAINT-0131,2024-04-05,MAT-STD-002,1,SCHEDULED_MAINTENANCE,17,3000,Brake pad replacement at 3000 miles
MAINT-0132,2024-04-05,MAT-STD-003,1,SCHEDULED_MAINTENANCE,3,3000,Chain replacement at 3000 miles
MAINT-0133,2024-04-05,MAT-STD-001,2,SCHEDULED_MAINTENANCE,32,3000,Tire replacement at 3000 miles
MAINT-0134,2024-04-05,MAT-STD-002,2,SCHEDULED_MAINTENANCE,9,3000,Brake pad replacement at 3000 miles
MAINT-0135,2024-04-05,MAT-STD-003,1,SCHEDULED_MAINTENANCE,24,3000,Chain replacement at 3000 miles
MAINT-0136,2024-04-05,MAT-STD-001,2,SCHEDULED_MAINTENANCE,4,3000,Tire replacement at 3000 miles
MAINT-0137,2024-04-05,MAT-STD-001,1,WEAR_REPLACEMENT,12,600,Normal wear replacement - 12 months old
MAINT-0138,2024-04-05,MAT-BAT-002,2,ACCIDENT_REPAIR,33,1650,Accident damage repair
MAINT-0139,2024-04-05,MAT-MOT-002,2,ACCIDENT_REPAIR,33,1650,Accident damage repair
MAINT-0140,2024-04-05,MAT-MOT-001,2,ACCIDENT_REPAIR,33,1650,Accident damage repair
MAINT-0141,2024-04-05,MAT-STD-001,2,ACCIDENT_REPAIR,33,1650,Accident damage repair
MAINT-0142,2024-04-08,MAT-STD-002,2,WEAR_REPLACEMENT,29,1450,Normal wear replacement - 29 months old
MAINT-0143,2024-04-09,MAT-STD-003,1,WEAR_REPLACEMENT,33,1650,Normal wear replacement - 33 months old
MAINT-0144,2024-04-10,MAT-STD-001,3,WEAR_REPLACEMENT,36,1800,Normal wear replacement - 36 months old
MAINT-0145,2024-04-13,MAT-STD-002,2,SCHEDULED_MAINTENANCE,16,1000,Brake or tire service at 1000 miles
MAINT-0146,2024-04-14,MAT-STD-001,2,WEAR_REPLACEMENT,6,300,Normal wear replacement - 6 months old
MAINT-0147,2024-04-15,MAT-STD-002,1,SCHEDULED_MAINTENANCE,5,3000,Brake pad replacement at 3000 miles
MAINT-0148,2024-04-15,MAT-STD-003,1,SCHEDULED_MAINTENANCE,4,3000,Chain replacement at 3000 miles
MAINT-0149,2024-04-15,MAT-STD-001,2,SCHEDULED_MAINTENANCE,15,3000,Tire replacement at 3000 miles
MAINT-0150,2024-04-15,MAT-STD-001,1,SCHEDULED_MAINTENANCE,17,1000,Brake or tire service at 1000 miles
MAINT-0151,2024-04-16,MAT-STD-001,1,SCHEDULED_MAINTENANCE,4,1000,Brake or tire service at 1000 miles
MAINT-0152,2024-04-16,MAT-STD-003,1,WEAR_REPLACEMENT,27,1350,Normal wear replacement - 27 months old
MAINT-0153,2024-04-17,MAT-STD-001,1,SCHEDULED_MAINTENANCE,10,1000,Brake or tire service at 1000 miles
MAINT-0154,2024-04-17,MAT-STD-002,1,SCHEDULED_MAINTENANCE,15,1000,Brake or tire service at 1000 miles
MAINT-0155,2024-04-19,MAT-STD-002,1,SCHEDULED_MAINTENANCE,20,2000,Brake pad replacement at 2000 miles
MAINT-0156,2024-04-19,MAT-STD-003,1,SCHEDULED_MAINTENANCE,11,2000,Chain replacement at 2000 miles
MAINT-0157,2024-04-19,MAT-STD-001,1,SCHEDULED_MAINTENANCE,35,2000,Tire replacement at 2000 miles
MAINT-0158,2024-04-20,MAT-STD-003,2,WEAR_REPLACEMENT,47,2350,Normal wear replacement - 47 months old
MAINT-0159,2024-04-24,MAT-STD-002,1,SCHEDULED_MAINTENANCE,19,3000,Brake pad replacement at 3000 miles
MAINT-0160,2024-04-24,MAT-STD-003,1,SCHEDULED_MAINTENANCE,8,3000,Chain replacement at 3000 miles
MAINT-0161,2024-04-24,MAT-STD-001,2,SCHEDULED_MAINTENANCE,11,3000,Tire replacement at 3000 miles
MAINT-0162,2024-04-24,MAT-STD-002,1,SCHEDULED_MAINTENANCE,21,500,Brake adjustment at 500 miles
MAINT-0163,2024-04-24,MAT-STD-003,1,WEAR_REPLACEMENT,35,1750,Normal wear replacement - 35 months old
MAINT-0164,2024-04-25,MAT-STD-002,2,WEAR_REPLACEMENT,23,1150,Normal wear replacement - 23 months old
MAINT-0165,2024-04-26,MAT-STD-002,1,SCHEDULED_MAINTENANCE,25,500,Brake adjustment at 500 miles
MAINT-0166,2024-04-26,MAT-STD-002,1,SCHEDULED_MAINTENANCE,21,500,Brake adjustment at 500 miles
MAINT-0167,2024-04-26,MAT-STD-002,1,SCHEDULED_MAINTENANCE,20,500,Brake adjustment at 500 miles
MAINT-0168,2024-04-26,MAT-STD-001,2,WEAR_REPLACEMENT,8,400,Normal wear replacement - 8 months old
MAINT-0169,2024-04-28,MAT-STD-001,1,SCHEDULED_MAINTENANCE,22,1000,Brake or tire service at 1000 miles
MAINT-0170,2024-04-28,MAT-STD-002,2,SCHEDULED_MAINTENANCE,28,2000,Brake pad replacement at 2000 miles
MAINT-0171,2024-04-28,MAT-STD-003,1,SCHEDULED_MAINTENANCE,3,2000,Chain replacement at 2000 miles
MAINT-0172,2024-04-28,MAT-STD-001,2,SCHEDULED_MAINTENANCE,33,2000,Tire replacement at 2000 miles
MAINT-0173,2024-04-28,MAT-STD-001,1,SCHEDULED_MAINTENANCE,17,1000,Brake or tire service at 1000 miles
MAINT-0174,2024-04-28,MAT-STD-001,3,WEAR_REPLACEMENT,43,2150,Normal wear replacement - 43 months old
MAINT-0175,2024-04-30,MAT-STD-002,3,WEAR_REPLACEMENT,7,350,Normal wear replacement - 7 months old
MAINT-0176,2024-05-01,MAT-STD-002,1,SCHEDULED_MAINTENANCE,34,500,Brake adjustment at 500 miles
MAINT-0177,2024-05-01,MAT-STD-002,2,SCHEDULED_MAINTENANCE,29,2000,Brake pad replacement at 2000 miles
MAINT-0178,2024-05-01,MAT-STD-003,1,SCHEDULED_MAINTENANCE,30,2000,Chain replacement at 2000 miles
MAINT-0179,2024-05-01,MAT-STD-001,1,SCHEDULED_MAINTENANCE,28,2000,Tire replacement at 2000 miles
MAINT-0180,2024-05-01,MAT-STD-002,2,SCHEDULED_MAINTENANCE,5,2000,Brake pad replacement at 2000 miles
MAINT-0181,2024-05-01,MAT-STD-003,1,SCHEDULED_MAINTENANCE,11,2000,Chain replacement at 2000 miles
MAINT-0182,2024-05-01,MAT-STD-001,1,SCHEDULED_MAINTENANCE,12,2000,Tire replacement at 2000 miles
MAINT-0183,2024-05-03,MAT-STD-002,1,WEAR_REPLACEMENT,36,1800,Normal wear replacement - 36 months old
MAINT-0184,2024-05-05,MAT-STD-002,2,SCHEDULED_MAINTENANCE,4,1000,Brake or tire service at 1000 miles
MAINT-0185,2024-05-05,MAT-STD-002,1,SCHEDULED_MAINTENANCE,27,1000,Brake or tire service at 1000 miles
MAINT-0186,2024-05-05,MAT-STD-002,1,SCHEDULED_MAINTENANCE,21,2000,Brake pad replacement at 2000 miles
MAINT-0187,2024-05-05,MAT-STD-003,1,SCHEDULED_MAINTENANCE,36,2000,Chain replacement at 2000 miles
MAINT-0188,2024-05-05,MAT-STD-001,1,SCHEDULED_MAINTENANCE,7,2000,Tire replacement at 2000 miles
MAINT-0189,2024-05-05,MAT-STD-001,1,WEAR_REPLACEMENT,26,1300,Normal wear replacement - 26 months old
MAINT-0190,2024-05-06,MAT-STD-003,2,WEAR_REPLACEMENT,36,1800,Normal wear replacement - 36 months old
MAINT-0191,2024-05-07,MAT-STD-001,2,WEAR_REPLACEMENT,33,1650,Normal wear replacement - 33 months old
MAINT-0192,2024-05-09,MAT-STD-002,2,SCHEDULED_MAINTENANCE,3,3000,Brake pad replacement at 3000 miles
MAINT-0193,2024-05-09,MAT-STD-003,1,SCHEDULED_MAINTENANCE,12,3000,Chain replacement at 3000 miles
MAINT-0194,2024-05-09,MAT-STD-001,1,SCHEDULED_MAINTENANCE,31,3000,Tire replacement at 3000 miles
MAINT-0195,2024-05-09,MAT-STD-002,1,SCHEDULED_MAINTENANCE,28,500,Brake adjustment at 500 miles
MAINT-0196,2024-05-09,MAT-STD-001,2,SCHEDULED_MAINTENANCE,32,1000,Brake or tire service at 1000 miles
MAINT-0197,2024-05-09,MAT-STD-001,2,WEAR_REPLACEMENT,47,2350,Normal wear replacement - 47 months old
MAINT-0198,2024-05-11,MAT-STD-001,1,WEAR_REPLACEMENT,45,2250,Normal wear replacement - 45 months old
MAINT-0199,2024-05-12,MAT-STD-003,1,WEAR_REPLACEMENT,31,1550,Normal wear replacement - 31 months old
MAINT-0200,2024-05-13,MAT-STD-002,2,SCHEDULED_MAINTENANCE,16,2000,Brake pad replacement at 2000 miles
MAINT-0201,2024-05-13,MAT-STD-003,1,SCHEDULED_MAINTENANCE,34,2000,Chain replacement at 2000 miles
MAINT-0202,2024-05-13,MAT-STD-001,1,SCHEDULED_MAINTENANCE,29,2000,Tire replacement at 2000 miles
MAINT-0203,2024-05-14,MAT-STD-002,2,SCHEDULED_MAINTENANCE,13,2000,Brake pad replacement at 2000 miles
MAINT-0204,2024-05-14,MAT-STD-003,1,SCHEDULED_MAINTENANCE,19,2000,Chain replacement at 2000 miles
MAINT-0205,2024-05-14,MAT-STD-001,2,SCHEDULED_MAINTENANCE,16,2000,Tire replacement at 2000 miles
MAINT-0206,2024-05-15,MAT-STD-003,2,WEAR_REPLACEMENT,18,900,Normal wear replacement - 18 months old
MAINT-0207,2024-05-16,MAT-STD-001,2,SCHEDULED_MAINTENANCE,34,1000,Brake or tire service at 1000 miles
MAINT-0208,2024-05-16,MAT-STD-003,1,WEAR_REPLACEMENT,34,1700,Normal wear replacement - 34 months old
MAINT-0209,2024-05-17,MAT-STD-001,3,WEAR_REPLACEMENT,12,600,Normal wear replacement - 12 months old
MAINT-0210,2024-05-18,MAT-STD-002,1,SCHEDULED_MAINTENANCE,3,3000,Brake pad replacement at 3000 miles
MAINT-0211,2024-05-18,MAT-STD-003,1,SCHEDULED_MAINTENANCE,20,3000,Chain replacement at 3000 miles
MAINT-0212,2024-05-18,MAT-STD-001,1,SCHEDULED_MAINTENANCE,12,3000,Tire replacement at 3000 miles
MAINT-0213,2024-05-18,MAT-STD-002,2,SCHEDULED_MAINTENANCE,16,3000,Brake pad replacement at 3000 miles
MAINT-0214,2024-05-18,MAT-STD-003,1,SCHEDULED_MAINTENANCE,5,3000,Chain replacement at 3000 miles
MAINT-0215,2024-05-18,MAT-STD-001,1,SCHEDULED_MAINTENANCE,16,3000,Tire replacement at 3000 miles
MAINT-0216,2024-05-18,MAT-STD-002,1,SCHEDULED_MAINTENANCE,27,3000,Brake pad replacement at 3000 miles
MAINT-0217,2024-05-18,MAT-STD-003,1,SCHEDULED_MAINTENANCE,22,3000,Chain replacement at 3000 miles
MAINT-0218,2024-05-18,MAT-STD-001,1,SCHEDULED_MAINTENANCE,31,3000,Tire replacement at 3000 miles
MAINT-0219,2024-05-18,MAT-STD-002,1,WEAR_REPLACEMENT,21,1050,Normal wear replacement - 21 months old
MAINT-0220,2024-05-19,MAT-STD-002,1,SCHEDULED_MAINTENANCE,29,500,Brake adjustment at 500 miles
MAINT-0221,2024-05-20,MAT-STD-002,1,SCHEDULED_MAINTENANCE,23,500,Brake adjustment at 500 miles
MAINT-0222,2024-05-20,MAT-STD-002,1,SCHEDULED_MAINTENANCE,28,2000,Brake pad replacement at 2000 miles
MAINT-0223,2024-05-20,MAT-STD-003,1,SCHEDULED_MAINTENANCE,30,2000,Chain replacement at 2000 miles
MAINT-0224,2024-05-20,MAT-STD-001,1,SCHEDULED_MAINTENANCE,10,2000,Tire replacement at 2000 miles
MAINT-0225,2024-05-20,MAT-STD-002,1,SCHEDULED_MAINTENANCE,25,1000,Brake or tire service at 1000 miles
MAINT-0226,2024-05-20,MAT-STD-003,2,WEAR_REPLACEMENT,6,300,Normal wear replacement - 6 months old
MAINT-0227,2024-05-22,MAT-STD-002,3,WEAR_REPLACEMENT,37,1850,Normal wear replacement - 37 months old
